,Paper,Subject,Subj_notes,MonoMix,Dom.species,TropTemp,Month.corr,Time,Plot.time,Plot.time.err,Method,AGbiomass,AGbiomass.units,AGbiomass_notes,Resp_facet,time.unit,model,O2.mmol,Temp.C,Time2,AGbiomass2,Temp2,Response
148,Egea et al. 2019b ,A,NA,mono,Cymodocea nodosa,temperate,Aug,8,8,0,Incubator,NA,NA,NA,GPP_hour,hour,N,18.716,27.39,64,NA,750.2121,GPP
149,Egea et al. 2019b ,A,NA,mono,Cymodocea nodosa,temperate,Oct,10,10,0,Incubator,NA,NA,NA,GPP_hour,hour,N,22.141,25.01,100,NA,625.5001,GPP
150,Egea et al. 2019b ,A,NA,mono,Cymodocea nodosa,temperate,Oct,10,10,0,Incubator,NA,NA,NA,GPP_hour,hour,N,17.896,19.4,100,NA,376.36,GPP
151,Egea et al. 2019b ,A,NA,mono,Cymodocea nodosa,temperate,Dec,12,12,0,Incubator,NA,NA,NA,GPP_hour,hour,N,11.983,11.48,144,NA,131.7904,GPP
152,Ferguson et al. 2017,C,"two depths, two seasons",mono,Zostera muelleri,temperate,Mar,3,3,0,Incubator,42.93,g DW m-2,NA,GPP_hour,hour,N,4.27,17.3,9,1842.9849,299.29,GPP
153,Ferguson et al. 2017,B,"two depths, two seasons",mono,Zostera muelleri,temperate,Mar,3,3,0,Incubator,54.395,g DW m-2,NA,GPP_hour,hour,N,10.089,17.3,9,2958.816025,299.29,GPP
154,Ferguson et al. 2017,A,"two depths, two seasons",mono,Zostera muelleri,temperate,Mar,3,3,0,Incubator,71.8,g DW m-2,NA,GPP_hour,hour,N,10.453,17.3,9,5155.24,299.29,GPP
155,Ferguson et al. 2017,C,"two depths, two seasons",mono,Zostera muelleri,temperate,Aug,8,8,0,Incubator,65.175,g DW m-2,NA,GPP_hour,hour,N,14.523,25.6,64,4247.780625,655.36,GPP
156,Ferguson et al. 2017,A,"two depths, two seasons",mono,Zostera muelleri,temperate,Aug,8,8,0,Incubator,110.586,g DW m-2,NA,GPP_hour,hour,N,16.589,25.6,64,12229.2634,655.36,GPP
157,Ferguson et al. 2017,B,"two depths, two seasons",mono,Zostera muelleri,temperate,Aug,8,8,0,Incubator,115.104,g DW m-2,NA,GPP_hour,hour,N,23.796,25.6,64,13248.93082,655.36,GPP
158,Gruber et al. 2017,A,NA,mix,Enhalus acoroides + Thalassia hemprichii,tropical,Oct,10,10,0,Control volume,NA,NA,NA,GPP_day,day,N,430,30.8,100,NA,948.64,GPP
159,Gustafsson and Norkko 2016,A,NA,mono,Ruppia cirrhosa,temperate,Aug,8,8,0,Incubator,0.4,g DW m-2,NA,GPP_day,day,N,45.926,19,64,0.16,361,GPP
160,Gustafsson and Norkko 2016,B,NA,mono,Zostera marina,temperate,Aug,8,8,0,Incubator,4.2,g DW m-2,NA,GPP_day,day,N,38.011,19,64,17.64,361,GPP
161,Herbert and Fourqurean 2008,A,NA,mix,Thalassia testudinum,tropical,Nov,11,11,0,Incubator,57.3,g DW m-2,NA,GPP_hour,hour,N,30.073184,NA,121,3283.29,NA,GPP
162,Holmer et al. 2004,B,NA,mono,Posidonia oceanica,temperate,Jun,6,6,0,Incubator,490,g DW m-2,NA,GPP_day,day,N,115.008,18,36,240100,324,GPP
163,Holmer et al. 2004,C,NA,mono,Posidonia oceanica,temperate,Jun,6,6,0,Incubator,527,g DW m-2,NA,GPP_day,day,N,123.515,18,36,277729,324,GPP
164,Holmer et al. 2004,D,NA,mono,Posidonia oceanica,temperate,May,5,5,0,Incubator,471,g DW m-2,NA,GPP_day,day,N,104.031,18,25,221841,324,GPP
165,Holmer et al. 2004,E,NA,mono,Posidonia oceanica,temperate,May,5,5,0,Incubator,612,g DW m-2,NA,GPP_day,day,N,184.771,18,25,374544,324,GPP
166,Hume et al. 2011,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy correlation,NA,NA,NA,GPP_day,day,N,65.9,NA,36,NA,NA,GPP
167,Hume et al. 2011,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy correlation,NA,NA,NA,GPP_day,day,N,126,NA,36,NA,NA,GPP
168,Hume et al. 2011,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy correlation,NA,NA,NA,GPP_day,day,N,223.6,NA,36,NA,NA,GPP
169,Hume et al. 2011,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy correlation,NA,NA,NA,GPP_day,day,N,215,NA,36,NA,NA,GPP
170,Hume et al. 2011,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy correlation,NA,NA,NA,GPP_day,day,N,143.8,NA,36,NA,NA,GPP
171,Johnson et al. 2019,A,NA,mono,Thalassia testudinum,tropical,Jul,7,7,0,Incubator,130.9,g DW m-2,NA,GPP_day,day,N,305.605,30,49,17134.81,900,GPP
172,Johnson et al. 2019,D,NA,mono,Thalassia testudinum,tropical,Aug,8,8,0,Incubator,202.2,g DW m-2,NA,GPP_day,day,N,198.92,32.2,64,40884.84,1036.84,GPP
173,Johnson et al. 2019,E,NA,mono,Thalassia testudinum,tropical,Aug,8,8,0,Incubator,96.5,g DW m-2,NA,GPP_day,day,N,152.224,34.4,64,9312.25,1183.36,GPP
174,Johnson et al. 2019,F,NA,mono,Thalassia testudinum,tropical,May,5,5,0,Incubator,70.7,g DW m-2,NA,GPP_day,day,N,130.561,29.2,25,4998.49,852.64,GPP
175,Johnson et al. 2019,G,NA,mono,Thalassia testudinum,tropical,Jun,6,6,0,Incubator,183.2,g DW m-2,NA,GPP_day,day,N,375.383,31.9,36,33562.24,1017.61,GPP
176,Johnson et al. 2019,G,NA,mono,Thalassia testudinum,tropical,May to Aug,6.5,6.5,1.5,Incubator,183.2,g DW m-2,NA,GPP_day,day,N,356.736,31.7,42.25,33562.24,1004.89,GPP
177,Johnson et al. 2019,G,NA,mono,Thalassia testudinum,tropical,Jul,5,7,0,Incubator,183.2,g DW m-2,NA,GPP_day,day,N,347.141,33.6,25,33562.24,1128.96,GPP
178,Johnson et al. 2019,H,NA,mono,Thalassia testudinum,tropical,Feb,2,2,0,Incubator,51.6,g DW m-2,NA,GPP_day,day,N,121.033,27.9,4,2662.56,778.41,GPP
179,Koopmans et al. 2020,A,NA,mono,Posidonia oceanica,temperate,May,5,5,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,151.4,NA,25,NA,NA,GPP
180,Koopmans et al. 2020,B,NA,mono,Posidonia oceanica,temperate,May,5,5,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,203.7,NA,25,NA,NA,GPP
181,Koopmans et al. 2020,C,NA,mono,Posidonia oceanica,temperate,May,5,5,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,159.8,NA,25,NA,NA,GPP
182,Koopmans et al. 2020,D,NA,mono,Posidonia oceanica,temperate,May,5,5,0,Eddy covariance,NA,NA,NA,GPP_day,day,N,133.3,NA,25,NA,NA,GPP
183,Long et al. 2015,A,NA,mono,Thalassia testudinium,tropical,Jul,7,7,0,Eddy correlation,75,g DW m-2,NA,GPP_day,day,N,151,29.1,49,5625,846.81,GPP
184,Long et al. 2015,B,NA,mono,Thalassia testudinium,tropical,Jul,7,7,0,Eddy correlation,24,g DW m-2,NA,GPP_day,day,N,68,31.2,49,576,973.44,GPP
185,Long et al. 2015,C,NA,mono,Thalassia testudinium,tropical,Aug,8,8,0,Eddy correlation,193,g DW m-2,NA,GPP_day,day,N,223,30.6,64,37249,936.36,GPP
186,Long et al. 2015,D,NA,mono,Thalassia testudinium,tropical,Aug,8,8,0,Eddy correlation,136,g DW m-2,NA,GPP_day,day,N,190,30.7,64,18496,942.49,GPP
187,Maher and Eyre 2011,A,NA,mono,Halophila ovalis,temperate,Jan,1,1,0,Incubator,NA,NA,NA,GPP_day,day,N,70.270675,NA,1,NA,NA,GPP
188,Maher and Eyre 2011,B,NA,mono,Ruppia megcarpa,temperate,Jan,1,1,0,Incubator,NA,NA,NA,GPP_day,day,N,236.705604,NA,1,NA,NA,GPP
189,Maher and Eyre 2011,C,NA,mono,Zostera capricorni,temperate,Jan,1,1,0,Incubator,NA,NA,NA,GPP_day,day,N,125.721232,NA,1,NA,NA,GPP
190,Maher and Eyre 2011,B,NA,mono,Ruppia megcarpa,temperate,Apr,4,4,0,Incubator,NA,NA,NA,GPP_day,day,N,171.430474,NA,16,NA,NA,GPP
191,Maher and Eyre 2011,C,NA,mono,Zostera capricorni,temperate,Apr,4,4,0,Incubator,NA,NA,NA,GPP_day,day,N,176.759057,NA,16,NA,NA,GPP
192,Maher and Eyre 2011,A,NA,mono,Halophila ovalis,temperate,Aug,8,8,0,Incubator,NA,NA,NA,GPP_day,day,N,176.925575,NA,64,NA,NA,GPP
193,Maher and Eyre 2011,B,NA,mono,Ruppia megcarpa,temperate,Aug,8,8,0,Incubator,NA,NA,NA,GPP_day,day,N,187.166443,NA,64,NA,NA,GPP
194,Maher and Eyre 2011,C,NA,mono,Zostera capricorni,temperate,Aug,8,8,0,Incubator,NA,NA,NA,GPP_day,day,N,213.559576,NA,64,NA,NA,GPP
195,Maher and Eyre 2011,A,NA,mono,Halophila ovalis,temperate,Oct,10,10,0,Incubator,NA,NA,NA,GPP_day,day,N,71.602821,NA,100,NA,NA,GPP
196,Maher and Eyre 2011,B,NA,mono,Ruppia megcarpa,temperate,Oct,10,10,0,Incubator,NA,NA,NA,GPP_day,day,N,242.117445,NA,100,NA,NA,GPP
197,Maher and Eyre 2011,C,NA,mono,Zostera capricorni,temperate,Oct,10,10,0,Incubator,NA,NA,NA,GPP_day,day,N,203.318707,NA,100,NA,NA,GPP
198,Maher and Eyre 2011,D,NA,mono,Halophila ovalis,temperate,Jan,1,1,0,Incubator,NA,NA,NA,GPP_day,day,N,42.29562,NA,1,NA,NA,GPP
199,Maher and Eyre 2011,F,NA,mono,Zostera capricorni,temperate,Jan,1,1,0,Incubator,NA,NA,NA,GPP_day,day,N,102.741722,NA,1,NA,NA,GPP
200,Maher and Eyre 2011,D,NA,mono,Halophila ovalis,temperate,Apr,4,4,0,Incubator,NA,NA,NA,GPP_day,day,N,39.881106,NA,16,NA,NA,GPP
201,Maher and Eyre 2011,F,NA,mono,Zostera capricorni,temperate,Apr,4,4,0,Incubator,NA,NA,NA,GPP_day,day,N,327.791053,NA,16,NA,NA,GPP
202,Maher and Eyre 2011,D,NA,mono,Halophila ovalis,temperate,Aug,8,8,0,Incubator,NA,NA,NA,GPP_day,day,N,78.430067,NA,64,NA,NA,GPP
203,Maher and Eyre 2011,F,NA,mono,Zostera capricorni,temperate,Aug,8,8,0,Incubator,NA,NA,NA,GPP_day,day,N,454.511394,NA,64,NA,NA,GPP
204,Maher and Eyre 2011,D,NA,mono,Halophila ovalis,temperate,Oct,10,10,0,Incubator,NA,NA,NA,GPP_day,day,N,58.198107,NA,100,NA,NA,GPP
205,Maher and Eyre 2011,F,NA,mono,Zostera capricorni,temperate,Oct,10,10,0,Incubator,NA,NA,NA,GPP_day,day,N,228.046658,NA,100,NA,NA,GPP
206,Maher and Eyre 2011,E,NA,mono,Halophila ovalis,temperate,Jan,1,1,0,Incubator,NA,NA,NA,GPP_day,day,N,117.728359,NA,1,NA,NA,GPP
207,Maher and Eyre 2011,H,NA,mono,Posidonia australis,temperate,Jan,1,1,0,Incubator,NA,NA,NA,GPP_day,day,N,189.081402,NA,1,NA,NA,GPP
208,Maher and Eyre 2011,I,NA,mono,Ruppia megcarpa,temperate,Jan,1,1,0,Incubator,NA,NA,NA,GPP_day,day,N,79.92873,NA,1,NA,NA,GPP
209,Maher and Eyre 2011,E,NA,mono,Halophila ovalis,temperate,Apr,4,4,0,Incubator,NA,NA,NA,GPP_day,day,N,152.697178,NA,16,NA,NA,GPP
210,Maher and Eyre 2011,H,NA,mono,Posidonia australis,temperate,Apr,4,4,0,Incubator,NA,NA,NA,GPP_day,day,N,298.400593,NA,16,NA,NA,GPP
211,Maher and Eyre 2011,I,NA,mono,Ruppia megcarpa,temperate,Apr,4,4,0,Incubator,NA,NA,NA,GPP_day,day,N,193.577393,NA,16,NA,NA,GPP
212,Maher and Eyre 2011,G,NA,mono,Zostera capricorni,temperate,Apr,4,4,0,Incubator,NA,NA,NA,GPP_day,day,N,109.31919,NA,16,NA,NA,GPP
213,Maher and Eyre 2011,E,NA,mono,Halophila ovalis,temperate,Aug,8,8,0,Incubator,NA,NA,NA,GPP_day,day,N,258.019932,NA,64,NA,NA,GPP
214,Maher and Eyre 2011,H,NA,mono,Posidonia australis,temperate,Aug,8,8,0,Incubator,NA,NA,NA,GPP_day,day,N,370.253191,NA,64,NA,NA,GPP
215,Maher and Eyre 2011,I,NA,mono,Ruppia megcarpa,temperate,Aug,8,8,0,Incubator,NA,NA,NA,GPP_day,day,N,293.488306,NA,64,NA,NA,GPP
216,Maher and Eyre 2011,G,NA,mono,Zostera capricorni,temperate,Aug,8,8,0,Incubator,NA,NA,NA,GPP_day,day,N,214.14239,NA,64,NA,NA,GPP
217,Maher and Eyre 2011,E,NA,mono,Halophila ovalis,temperate,Oct,10,10,0,Incubator,NA,NA,NA,GPP_day,day,N,186.833407,NA,100,NA,NA,GPP
218,Maher and Eyre 2011,H,NA,mono,Posidonia australis,temperate,Oct,10,10,0,Incubator,NA,NA,NA,GPP_day,day,N,253.357423,NA,100,NA,NA,GPP
219,Maher and Eyre 2011,I,NA,mono,Ruppia megcarpa,temperate,Oct,10,10,0,Incubator,NA,NA,NA,GPP_day,day,N,197.57383,NA,100,NA,NA,GPP
220,Maher and Eyre 2011,G,NA,mono,Zostera capricorni,temperate,Oct,10,10,0,Incubator,NA,NA,NA,GPP_day,day,N,154.112583,NA,100,NA,NA,GPP
221,Morgan and Kitting 1984,A,NA,mono,Halodule wrightii,tropical,Jun,6,6,0,C14_enrichment,209.4,g DW m-2,NA,GPP_hour,hour,N,5.031971,NA,36,43848.36,NA,GPP
222,Morgan and Kitting 1984,A,NA,mono,Halodule wrightii,tropical,Jul,7,7,0,C14_enrichment,114.658,g DW m-2,NA,GPP_hour,hour,N,7.402649,NA,49,13146.45696,NA,GPP
223,Morgan and Kitting 1984,A,NA,mono,Halodule wrightii,tropical,Sep,9,9,0,C14_enrichment,82.085,g DW m-2,NA,GPP_hour,hour,N,11.346799,NA,81,6737.947225,NA,GPP
224,Morgan and Kitting 1984,A,NA,mono,Halodule wrightii,tropical,Oct,10,10,0,C14_enrichment,175.15,g DW m-2,NA,GPP_hour,hour,N,37.18451,NA,100,30677.5225,NA,GPP
225,Morgan and Kitting 1984,A,NA,mono,Halodule wrightii,tropical,Nov,11,11,0,C14_enrichment,51.191,g DW m-2,NA,GPP_hour,hour,N,3.698452,NA,121,2620.518481,NA,GPP
226,Morgan and Kitting 1984,A,NA,mono,Halodule wrightii,tropical,Dec,12,12,0,C14_enrichment,88.29,g DW m-2,NA,GPP_hour,hour,N,3.40205,NA,144,7795.1241,NA,GPP
227,Morgan and Kitting 1984,B,NA,mono,Halodule wrightii,tropical,Jun,6,6,0,C14_enrichment,203.425,g DW m-2,NA,GPP_hour,hour,N,9.131358,NA,36,41381.73063,NA,GPP
228,Morgan and Kitting 1984,B,NA,mono,Halodule wrightii,tropical,Jul,7,7,0,C14_enrichment,132.247,g DW m-2,NA,GPP_hour,hour,N,3.527854,NA,49,17489.26901,NA,GPP
229,Morgan and Kitting 1984,B,NA,mono,Halodule wrightii,tropical,Aug,8,8,0,C14_enrichment,154.278,g DW m-2,NA,GPP_hour,hour,N,15.701666,NA,64,23801.70128,NA,GPP
230,Morgan and Kitting 1984,B,NA,mono,Halodule wrightii,tropical,Sep,9,9,0,C14_enrichment,449.218,g DW m-2,NA,GPP_hour,hour,N,47.401567,NA,81,201796.8115,NA,GPP
231,Morgan and Kitting 1984,B,NA,mono,Halodule wrightii,tropical,Oct,10,10,0,C14_enrichment,225.516,g DW m-2,NA,GPP_hour,hour,N,24.98747,NA,100,50857.46626,NA,GPP
232,Morgan and Kitting 1984,B,NA,mono,Halodule wrightii,tropical,Nov,11,11,0,C14_enrichment,91.634,g DW m-2,NA,GPP_hour,hour,N,0.966222,NA,121,8396.789956,NA,GPP
233,Morgan and Kitting 1984,B,NA,mono,Halodule wrightii,tropical,Dec,12,12,0,C14_enrichment,86.55,g DW m-2,NA,GPP_hour,hour,N,2.407104,NA,144,7490.9025,NA,GPP
234,Olive et al. 2016,E,These are estimates based on different incubation times,mono,Posidonia oceanica,temperate,Oct,10,10,0,Incubator,NA,NA,NA,GPP_day,day,N,212.45,NA,100,NA,NA,GPP
235,Olive et al. 2016,F,These are estimates based on different incubation times,mono,Posidonia oceanica,temperate,Oct,10,10,0,Incubator,NA,NA,NA,GPP_day,day,N,105.45,NA,100,NA,NA,GPP
236,Penhale 1977,A,NA,mono,Zostera marina,temperate,Jan,1,1,0,C14_enrichment,51.186,g DW m-2,NA,GPP_day,day,N,53.662151,13.652,1,2620.006596,186.377104,GPP
237,Penhale 1977,A,NA,mono,Zostera marina,temperate,Feb,2,2,0,C14_enrichment,99.048,g DW m-2,NA,GPP_day,day,N,52.737143,12.374,4,9810.506304,153.115876,GPP
238,Penhale 1977,A,NA,mono,Zostera marina,temperate,Mar,3,3,0,C14_enrichment,185.108,g DW m-2,NA,GPP_day,day,N,49.731489,15.341,9,34264.97166,235.346281,GPP
239,Penhale 1977,A,NA,mono,Zostera marina,temperate,Apr,4,4,0,C14_enrichment,140.431,g DW m-2,NA,GPP_day,day,N,39.315777,17.669,16,19720.86576,312.193561,GPP
240,Penhale 1977,A,NA,mono,Zostera marina,temperate,May,5,5,0,C14_enrichment,128.006,g DW m-2,NA,GPP_day,day,N,45.096456,20.137,25,16385.53604,405.498769,GPP
241,Penhale 1977,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,C14_enrichment,117.881,g DW m-2,NA,GPP_day,day,N,52.744636,25.706,36,13895.93016,660.798436,GPP
242,Penhale 1977,A,NA,mono,Zostera marina,temperate,Jul,7,7,0,C14_enrichment,140.431,g DW m-2,NA,GPP_day,day,N,90.444354,27.446,49,19720.86576,753.282916,GPP
243,Penhale 1977,A,NA,mono,Zostera marina,temperate,Aug,8,8,0,C14_enrichment,113.739,g DW m-2,NA,GPP_day,day,N,104.531792,27.4,64,12936.56012,750.76,GPP
244,Penhale 1977,A,NA,mono,Zostera marina,temperate,Sep,9,9,0,C14_enrichment,77.348,g DW m-2,NA,GPP_day,day,N,73.778381,25.39,81,5982.713104,644.6521,GPP
245,Penhale 1977,A,NA,mono,Zostera marina,temperate,Oct,10,10,0,C14_enrichment,71.791,g DW m-2,NA,GPP_day,day,N,71.004188,19.721,100,5153.947681,388.917841,GPP
246,Penhale 1977,A,NA,mono,Zostera marina,temperate,Nov,11,11,0,C14_enrichment,81.882,g DW m-2,NA,GPP_day,day,N,75.628398,14.886,121,6704.661924,221.592996,GPP
247,Penhale 1977,A,NA,mono,Zostera marina,temperate,Dec,12,12,0,C14_enrichment,76.819,g DW m-2,NA,GPP_day,day,N,50.887126,12.512,144,5901.158761,156.550144,GPP
248,Plus et al. 2001,A,NA,mono,Zostera noltii,temperate,Feb,2,2,0,Incubator,26.6,g DW m-2,NA,GPP_hour,hour,N,11.430429,9.3,4,707.56,86.49,GPP
249,Plus et al. 2001,A,NA,mono,Zostera noltii,temperate,Apr,4,4,0,Incubator,67.7,g DW m-2,NA,GPP_hour,hour,N,11.092947,14.15,16,4583.29,200.2225,GPP
250,Plus et al. 2001,A,NA,mono,Zostera noltii,temperate,May,5,5,0,Incubator,27.8,g DW m-2,NA,GPP_hour,hour,N,7.436404,17.3,25,772.84,299.29,GPP
251,Plus et al. 2001,A,NA,mono,Zostera noltii,temperate,Jul,7,7,0,Incubator,99.9,g DW m-2,NA,GPP_hour,hour,N,16.711127,21.6,49,9980.01,466.56,GPP
252,Plus et al. 2001,A,NA,mono,Zostera noltii,temperate,Aug,8,8,0,Incubator,136.3,g DW m-2,NA,GPP_hour,hour,N,16.609998,26.8,64,18577.69,718.24,GPP
253,Plus et al. 2001,A,NA,mono,Zostera noltii,temperate,Aug,8,8,0,Incubator,36.4,g DW m-2,NA,GPP_hour,hour,N,20.249853,25.2,64,1324.96,635.04,GPP
254,Plus et al. 2001,A,NA,mono,Zostera noltii,temperate,Oct,10,10,0,Incubator,54.2,g DW m-2,NA,GPP_hour,hour,N,12.47353,14.4,100,2937.64,207.36,GPP
255,Rheuban et al. 2014,A,NA,mono,Zostera marina,temperate,Feb,2,2,0,Eddy correlation,NA,NA,NA,GPP_day,day,N,51.95555,9.4,4,NA,88.36,GPP
256,Rheuban et al. 2014,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Eddy correlation,NA,NA,NA,GPP_day,day,N,371.7955,27.6,36,NA,761.76,GPP
257,Rheuban et al. 2014,A,NA,mono,Zostera marina,temperate,Aug,8,8,0,Eddy correlation,NA,NA,NA,GPP_day,day,N,181.9717,30.1,64,NA,906.01,GPP
258,Rheuban et al. 2014,A,NA,mono,Zostera marina,temperate,Aug,8,8,0,Eddy correlation,NA,NA,NA,GPP_day,day,N,162.4409,27.4,64,NA,750.76,GPP
259,Rheuban et al. 2014,A,NA,mono,Zostera marina,temperate,Oct,10,10,0,Eddy correlation,NA,NA,NA,GPP_day,day,N,135.7604,17,100,NA,289,GPP
260,Santos et al. 2004,A,NA,mono,Zostera noltii,temperate,Jul,7,7,0,Incubator,NA,NA,NA,GPP_hour,hour,N,12.47,NA,49,NA,NA,GPP
261,Santos et al. 2004,B,NA,mono,Cymodocea nodosa,temperate,Jul,7,7,0,Incubator,NA,NA,NA,GPP_hour,hour,N,6.36,NA,49,NA,NA,GPP
262,Staehr et al. 2018,A,NA,mono,Zostera marina,temperate,Apr,4,4,0,Incubator,NA,NA,NA,GPP_day,day,N,12.5,9,16,NA,81,GPP
263,Staehr et al. 2018,A,NA,mono,Zostera marina,temperate,Jun,6,6,0,Incubator,NA,NA,NA,GPP_day,day,N,275,16,36,NA,256,GPP
264,Staehr et al. 2018,A,NA,mono,Zostera marina,temperate,Aug,8,8,0,Incubator,NA,NA,NA,GPP_day,day,N,109.4,21,64,NA,441,GPP
265,Stutes et al. 2007,A,NA,mono,Halodule wrightii,tropical,Feb,2,2,0,Incubator,20.776,g AFDW m-2,NA,GPP_hour,hour,N,4.554439,15.5875,4,431.642176,242.9701563,GPP
266,Stutes et al. 2007,A,NA,mono,Halodule wrightii,tropical,Apr,4,4,0,Incubator,16.218,g AFDW m-2,NA,GPP_hour,hour,N,5.453038,25.95,16,263.023524,673.4025,GPP
267,Stutes et al. 2007,A,NA,mono,Halodule wrightii,tropical,Apr,4,4,0,Incubator,10.998,g AFDW m-2,NA,GPP_hour,hour,N,3.237114,25.3,16,120.956004,640.09,GPP
268,Stutes et al. 2007,A,NA,mono,Halodule wrightii,tropical,Jun,6,6,0,Incubator,45.156,g AFDW m-2,NA,GPP_hour,hour,N,5.184078,30.0125,36,2039.064336,900.7501563,GPP
269,Stutes et al. 2007,A,NA,mono,Halodule wrightii,tropical,Jun,6,6,0,Incubator,41.552,g AFDW m-2,NA,GPP_hour,hour,N,3.811102,28.2,36,1726.568704,795.24,GPP
270,Stutes et al. 2007,A,NA,mono,Halodule wrightii,tropical,Aug,8,8,0,Incubator,34.238,g AFDW m-2,NA,GPP_hour,hour,N,2.864046,31.1125,64,1172.240644,967.9876563,GPP
271,Stutes et al. 2007,A,NA,mono,Halodule wrightii,tropical,Aug,8,8,0,Incubator,23.002,g AFDW m-2,NA,GPP_hour,hour,N,2.668021,31.775,64,529.092004,1009.650625,GPP
272,Stutes et al. 2007,A,NA,mono,Halodule wrightii,tropical,Oct,10,10,0,Incubator,11.024,g AFDW m-2,NA,GPP_hour,hour,N,5.167892,21.775,100,121.528576,474.150625,GPP
273,Stutes et al. 2007,A,NA,mono,Halodule wrightii,tropical,Dec,12,12,0,Incubator,19.08,g AFDW m-2,NA,GPP_hour,hour,N,4.702807,20.125,144,364.0464,405.015625,GPP
274,Stutes et al. 2007,A,NA,mono,Halodule wrightii,tropical,Dec,12,12,0,Incubator,11.837,g AFDW m-2,NA,GPP_hour,hour,N,3.769139,14.1125,144,140.114569,199.1626563,GPP
275,Stutes et al. 2007,B,NA,mono,Halodule wrightii,tropical,Feb,2,2,0,Incubator,36.782,g AFDW m-2,NA,GPP_hour,hour,N,5.430658,16.2375,4,1352.915524,263.6564063,GPP
276,Stutes et al. 2007,B,NA,mono,Halodule wrightii,tropical,Apr,4,4,0,Incubator,42.4,g AFDW m-2,NA,GPP_hour,hour,N,8.379628,25.8,16,1797.76,665.64,GPP
277,Stutes et al. 2007,B,NA,mono,Halodule wrightii,tropical,Apr,4,4,0,Incubator,35.113,g AFDW m-2,NA,GPP_hour,hour,N,5.604403,22.94286,16,1232.922769,526.374825,GPP
278,Stutes et al. 2007,B,NA,mono,Halodule wrightii,tropical,Jun,6,6,0,Incubator,34.98,g AFDW m-2,NA,GPP_hour,hour,N,3.142199,31.4125,36,1223.6004,986.7451563,GPP
279,Stutes et al. 2007,B,NA,mono,Halodule wrightii,tropical,Jun,6,6,0,Incubator,32.224,g AFDW m-2,NA,GPP_hour,hour,N,4.49719,28.825,36,1038.386176,830.880625,GPP
280,Stutes et al. 2007,B,NA,mono,Halodule wrightii,tropical,Aug,8,8,0,Incubator,80.772,g AFDW m-2,NA,GPP_hour,hour,N,10.487249,30.45,64,6524.115984,927.2025,GPP
281,Stutes et al. 2007,B,NA,mono,Halodule wrightii,tropical,Aug,8,8,0,Incubator,13.25,g AFDW m-2,NA,GPP_hour,hour,N,7.596726,29.9875,64,175.5625,899.2501563,GPP
282,Stutes et al. 2007,B,NA,mono,Halodule wrightii,tropical,Oct,10,10,0,Incubator,38.478,g AFDW m-2,NA,GPP_hour,hour,N,3.71219,22.4375,100,1480.556484,503.4414063,GPP
283,Stutes et al. 2007,B,NA,mono,Halodule wrightii,tropical,Dec,12,12,0,Incubator,22.26,g AFDW m-2,NA,GPP_hour,hour,N,4.364908,18.36667,144,495.5076,337.3345669,GPP
284,Stutes et al. 2007,B,NA,mono,Halodule wrightii,tropical,Dec,12,12,0,Incubator,5.698,g AFDW m-2,NA,GPP_hour,hour,N,4.493794,13.01667,144,32.467204,169.4336979,GPP
285,Viaroli et al. 1996,A,NA,mono,Zostera noltii,temperate,May,5,5,0,Incubator,101,g DW m-2,NA,GPP_hour,hour,N,8.532,NA,25,10201,NA,GPP
286,Viaroli et al. 1996,A,NA,mono,Zostera noltii,temperate,Aug,8,8,0,Incubator,101,g DW m-2,NA,GPP_hour,hour,N,14.622,NA,64,10201,NA,GPP
287,Yarbro and Carlson 2008,A,NA,mono,Thalassia testudinum,tropical,May,5,5,0,Incubator,NA,NA,NA,GPP_hour,hour,N,3.558,NA,25,NA,NA,GPP
288,Yarbro and Carlson 2008,A,NA,mono,Thalassia testudinum,tropical,Aug,8,8,0,Incubator,NA,NA,NA,GPP_hour,hour,N,1.675,NA,64,NA,NA,GPP
289,Yarbro and Carlson 2008,A,NA,mono,Thalassia testudinum,tropical,Nov,11,11,0,Incubator,NA,NA,NA,GPP_hour,hour,N,1.481,NA,121,NA,NA,GPP
290,Yarbro and Carlson 2008,B,NA,mono,Halodule wrightii,tropical,Mar,3,3,0,Incubator,NA,NA,NA,GPP_hour,hour,N,2.5,NA,9,NA,NA,GPP
291,Yarbro and Carlson 2008,B,NA,mono,Halodule wrightii,tropical,May,5,5,0,Incubator,NA,NA,NA,GPP_hour,hour,N,0.848,NA,25,NA,NA,GPP
292,Yarbro and Carlson 2008,B,NA,mono,Halodule wrightii,tropical,Aug,8,8,0,Incubator,NA,NA,NA,GPP_hour,hour,N,6.104,NA,64,NA,NA,GPP
